sedol,bbcode,LOTSIZE,STATUS,CURNY,PRICECLOSE,beta,sector,sector name,group,group name,exchange_rate
6197928,CIT SP Equity,1000,ACTV,SGD,9.95,1.151841,40,Financials,4040,Real Estate,0.8002
6199355,HOBEE SP Equity,1000,ACTV,SGD,2.2,0.8567938,40,Financials,4040,Real Estate,0.8002
6199366,758 HK Equity,2000,ACTV,HKD,0.3,0.3800887,15,Materials,1510,Materials,0.12901
6199429,8003 HK Equity,2000,ACTV,HKD,0.085,1.034344,15,Materials,1510,Materials,0.12901
6201034,MIT SP Equity,1000,ACTV,SGD,0.06,0.5031679,45,Information Technology,4530,Semiconductors & Semiconductor,0.8002
6201830,1207 HK Equity,2000,ACTV,HKD,0.24,0.9761549,40,Financials,4040,Real Estate,0.12901
6201852,747 HK Equity,2000,ACTV,HKD,0.58,0.4942932,40,Financials,4040,Real Estate,0.12901
6201896,KCF SP Equity,1000,ACTV,SGD,0.183,0.2611858,15,Materials,1510,Materials,0.8002
6201915,8025 HK Equity,2000,ACTV,HKD,0.405,0.6802176,45,Information Technology,4510,Software & Services,0.12901
6203546,1202 HK Equity,2000,ACTV,HKD,1.58,0.5514077,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6204873,HWAH SP Equity,1000,ACTV,SGD,0.315,0.5487131,40,Financials,4040,Real Estate,0.8002
6205133,SMM SP Equity,1000,ACTV,SGD,4,0.8920259,20,Industrials,2010,Capital Goods,0.8002
6206675,768 HK Equity,2000,ACTV,HKD,0.147,0.6759255,40,Financials,4020,Diversified Financials,0.12901
6207076,BOCS SP Equity,1000,ACTV,SGD,1.755,0.644381,10,Energy,1010,Energy,0.8002
6207463,STAT SP Equity,1000,ACTV,SGD,0.58,1.281352,45,Information Technology,4530,Semiconductors & Semiconductor,0.8002
6207560,JAYA SP Equity,1000,ACTV,SGD,0.061,0.7099775,20,Industrials,2010,Capital Goods,0.8002
6207582,CREAF SP Equity,50,ACTV,SGD,2.2,0.5147523,45,Information Technology,4520,Technology Hardware & Equipmen,0.8002
6207850,969 HK Equity,2000,ACTV,HKD,0.41,0.4497316,20,Industrials,2020,Commercial & Professional Serv,0.12901
6208110,858 HK Equity,10000,ACTV,HKD,0.335,0.579989,35,Health Care,3520,"Pharmaceuticals, Biotechnology",0.12901
6208422,694 HK Equity,2000,ACTV,HKD,5.31,0.5499697,20,Industrials,2030,Transportation,0.12901
6208585,HANW SP Equity,1000,ACTV,SGD,0.28,0.5570844,30,Consumer Staples,3020,Food Beverage & Tobacco,0.8002
6209050,YHS SP Equity,1000,ACTV,SGD,2.05,0.02632431,30,Consumer Staples,3020,Food Beverage & Tobacco,0.8002
6209577,AP SP Equity,1000,ACTV,SGD,1.2,0.5139353,30,Consumer Staples,3010,Food & Staples Retailing,0.8002
6211237,METRO SP Equity,1000,ACTV,SGD,0.9,0.7384897,25,Consumer Discretionary,2550,Retailing,0.8002
6211248,MC SP Equity,1000,ACTV,SGD,0.143,0.5910867,45,Information Technology,4520,Technology Hardware & Equipmen,0.8002
6212553,1038 HK Equity,1000,ACTV,HKD,56.3,0.4662925,55,Utilities,5510,Utilities,0.12901
6213664,NERT SP Equity,1000,ACTV,SGD,0.79,0.7731626,45,Information Technology,4520,Technology Hardware & Equipmen,0.8002
6213794,110 HK Equity,2000,ACTV,HKD,0.57,0.4232543,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6214979,2383 HK Equity,2000,ACTV,HKD,1.79,0.4093888,25,Consumer Discretionary,2540,Media,0.12901
6215875,31 HK Equity,2000,ACTV,HKD,0.86,0.9651304,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6216760,CWT SP Equity,1000,ACTV,SGD,1.71,1.038605,20,Industrials,2030,Transportation,0.8002
6218078,8033 HK Equity,2000,ACTV,HKD,0.3,0.2833615,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6218089,992 HK Equity,2000,ACTV,HKD,11.08,0.7070767,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6218131,MRL SP Equity,1000,ACTV,SGD,0.395,0.4995841,20,Industrials,2030,Transportation,0.8002
6220556,643 HK Equity,10000,ACTV,HKD,0.54,0.4956605,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6220987,119 HK Equity,1000,ACTV,HKD,3.63,1.279847,40,Financials,4040,Real Estate,0.12901
6220998,433 HK Equity,10000,SUSP,HKD,0.435,0.2390806,15,Materials,1510,Materials,0.12901
6221173,CEI SP Equity,1000,ACTV,SGD,0.103,0.719898,45,Information Technology,4520,Technology Hardware & Equipmen,0.8002
6222217,8008 HK Equity,1000,ACTV,HKD,2.69,0.7149587,45,Information Technology,4510,Software & Services,0.12901
6224859,8026 HK Equity,1000,ACTV,HKD,0.186,0.8465628,45,Information Technology,4510,Software & Services,0.12901
6226394,118 HK Equity,2000,ACTV,HKD,0.62,0.7559515,20,Industrials,2010,Capital Goods,0.12901
6226576,857 HK Equity,2000,ACTV,HKD,10.56,1.086327,10,Energy,1010,Energy,0.12901
6228828,751 HK Equity,2000,ACTV,HKD,3.93,0.9535549,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6230351,418 HK Equity,2000,ACTV,HKD,0.52,0.8177751,45,Information Technology,4510,Software & Services,0.12901
6231149,BJ SP Equity,1000,ACTV,SGD,0.002,0.5983585,50,Telecommunication Services,5010,Telecommunication Services,0.8002
6232205,8007 HK Equity,2000,ACTV,HKD,0.96,0.2740373,45,Information Technology,4510,Software & Services,0.12901
6233231,927 HK Equity,2000,ACTV,HKD,1.83,0.5008107,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6233424,122 HK Equity,1000,ACTV,HKD,0.44,0.3969941,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6234977,HKC SP Equity,1000,ACTV,SGD,0.062,0.8104067,20,Industrials,2010,Capital Goods,0.8002
